date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:43:09	1253/1253	---M-Z	200	added ('OK')	image/svg+xml	etag:%224e5-6515999b-11ea561809a442f9;gz%22	https://ppc5g.com/images/technology/dirb-logo.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/dirb-logo.svg	(from https://ppc5g.com/index.php)
10:43:10	2168/2168	---M-Z	200	added ('OK')	image/svg+xml	etag:%22878-651599a3-2f59647ac8feaae7;gz%22	https://ppc5g.com/images/technology/wireshark.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/wireshark.svg	(from https://ppc5g.com/index.php)
10:43:10	11595/11595	---M-Z	200	added ('OK')	image/svg+xml	etag:%222d4b-651599a4-80ccbff3ba631471;gz%22	https://ppc5g.com/images/technology/zmap.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/zmap.svg	(from https://ppc5g.com/index.php)
10:43:11	2811/2811	---M-Z	200	added ('OK')	image/svg+xml	etag:%22afb-6515999d-6361ae27987253ed;gz%22	https://ppc5g.com/images/technology/masscan.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/masscan.svg	(from https://ppc5g.com/index.php)
10:43:11	12280/12280	---M--	200	added ('OK')	image/webp	etag:%222ff8-6515998f-9fb51e9d576ebbba;;;%22	https://ppc5g.com/images/real-estate.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/real-estate.webp	(from https://ppc5g.com/index.php)
10:43:11	4380/4380	---M--	200	added ('OK')	image/webp	etag:%22111c-65159989-52d7a1e8b2dbeb4f;;;%22	https://ppc5g.com/images/education.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/education.webp	(from https://ppc5g.com/index.php)
10:43:12	5470/5470	---M--	200	added ('OK')	image/webp	etag:%22155e-65159988-8f3158f662b584c9;;;%22	https://ppc5g.com/images/ecom-b2b.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/ecom-b2b.webp	(from https://ppc5g.com/index.php)
10:43:12	7246/7246	---M--	200	added ('OK')	image/webp	etag:%221c4e-65159991-2e9e53136dd9a351;;;%22	https://ppc5g.com/images/travel.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/travel.webp	(from https://ppc5g.com/index.php)
10:43:12	7048/7048	---M--	200	added ('OK')	image/webp	etag:%221b88-65159994-e4dc6a656d0779e5;;;%22	https://ppc5g.com/images/visa-immigration.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/visa-immigration.webp	(from https://ppc5g.com/index.php)
10:43:13	5348/5348	---M--	200	added ('OK')	image/webp	etag:%2214e4-65159988-5f1bddb134665a2;;;%22	https://ppc5g.com/images/dentist.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/dentist.webp	(from https://ppc5g.com/index.php)
10:43:13	6655/6655	---M--	200	added ('OK')	image/png	etag:%2219ff-65159989-e112836133557927;;;%22	https://ppc5g.com/images/fashion.png	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/fashion.png	(from https://ppc5g.com/index.php)
10:43:13	6190/6190	---M--	200	added ('OK')	image/webp	etag:%22182e-65159988-e329279b83b7d9b7;;;%22	https://ppc5g.com/images/constraction.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/constraction.webp	(from https://ppc5g.com/index.php)
10:43:14	4716/4716	---M--	200	added ('OK')	image/webp	etag:%22126c-6515998b-34d32f954d83ca9d;;;%22	https://ppc5g.com/images/hospital.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/hospital.webp	(from https://ppc5g.com/index.php)
10:43:14	4344/4344	---M--	200	added ('OK')	image/webp	etag:%2210f8-65159988-e3c9d8456b300243;;;%22	https://ppc5g.com/images/diagnostics.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/diagnostics.webp	(from https://ppc5g.com/index.php)
10:43:14	4438/4438	---M--	200	added ('OK')	image/webp	etag:%221156-6515998e-289653cc019c8517;;;%22	https://ppc5g.com/images/pharma.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/pharma.webp	(from https://ppc5g.com/index.php)
10:43:15	7966/7966	---M--	200	added ('OK')	image/webp	etag:%221f1e-65159986-468500ccac490f41;;;%22	https://ppc5g.com/images/ayurveda.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/ayurveda.webp	(from https://ppc5g.com/index.php)
10:43:15	4938/4938	---M--	200	added ('OK')	image/webp	etag:%22134a-65159990-ad17e55f0343b0b6;;;%22	https://ppc5g.com/images/sports.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/sports.webp	(from https://ppc5g.com/index.php)
10:43:18	4752/4752	---M--	200	added ('OK')	image/webp	etag:%221290-6515998c-879cc02c7c6fee71;;;%22	https://ppc5g.com/images/interior-design.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/interior-design.webp	(from https://ppc5g.com/index.php)
10:43:18	3908/3908	---M--	200	added ('OK')	image/webp	etag:%22f44-65159986-c8ac7c10ff577363;;;%22	https://ppc5g.com/images/beverages.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/beverages.webp	(from https://ppc5g.com/index.php)
10:43:18	4870/4870	---M--	200	added ('OK')	image/webp	etag:%221306-65159989-c30b74ed61197257;;;%22	https://ppc5g.com/images/event.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/event.webp	(from https://ppc5g.com/index.php)
10:43:19	4962/4962	---M--	200	added ('OK')	image/webp	etag:%221362-65159990-4a1f100f0baa57bc;;;%22	https://ppc5g.com/images/restaurants.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/restaurants.webp	(from https://ppc5g.com/index.php)
10:43:19	4174/4174	---M--	200	added ('OK')	image/webp	etag:%22104e-6515998b-b59fda1516fb3965;;;%22	https://ppc5g.com/images/hospitality.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/hospitality.webp	(from https://ppc5g.com/index.php)
10:43:20	10831/10831	---M--	200	added ('OK')	image/png	etag:%222a4f-65159987-36faf457d311c00f;;;%22	https://ppc5g.com/images/club-dining.png	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/club-dining.png	(from https://ppc5g.com/index.php)
10:43:20	7740/7740	---M--	200	added ('OK')	image/webp	etag:%221e3c-6515998e-1166153c5c7dbf15;;;%22	https://ppc5g.com/images/ngo.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/ngo.webp	(from https://ppc5g.com/index.php)
10:43:20	4754/4754	---M--	200	added ('OK')	image/webp	etag:%221292-6515998c-f15790b9dc274774;;;%22	https://ppc5g.com/images/law.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/law.webp	(from https://ppc5g.com/index.php)
10:43:20	5034/5034	---M--	200	added ('OK')	image/webp	etag:%2213aa-6515998a-24dd6c4d16749201;;;%22	https://ppc5g.com/images/fmcg.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/fmcg.webp	(from https://ppc5g.com/index.php)
10:43:21	3574/3574	---M--	200	added ('OK')	image/webp	etag:%22df6-65159989-d14d3a0f13c03705;;;%22	https://ppc5g.com/images/finance.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/finance.webp	(from https://ppc5g.com/index.php)
10:43:21	10350/10350	---M--	200	added ('OK')	image/webp	etag:%22286e-6515998c-7b33194becf0397a;;;%22	https://ppc5g.com/images/it-iot.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/it-iot.webp	(from https://ppc5g.com/index.php)
10:43:22	5698/5698	---M--	200	added ('OK')	image/webp	etag:%221642-6515998d-f81535707e3f63dd;;;%22	https://ppc5g.com/images/media.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/media.webp	(from https://ppc5g.com/index.php)
10:43:22	7704/7704	---M--	200	added ('OK')	image/webp	etag:%221e18-6515998a-309037aec5206c6f;;;%22	https://ppc5g.com/images/footwear.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/footwear.webp	(from https://ppc5g.com/index.php)
10:43:22	8992/8992	---M--	200	added ('OK')	image/webp	etag:%222320-65159986-926ca9a79a999586;;;%22	https://ppc5g.com/images/agriculture.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/agriculture.webp	(from https://ppc5g.com/index.php)
10:43:22	4004/4004	---M--	200	added ('OK')	image/webp	etag:%22fa4-65159986-8ef19f60bbdf67d2;;;%22	https://ppc5g.com/images/automotive.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/automotive.webp	(from https://ppc5g.com/index.php)
10:43:23	4438/4438	---M--	200	added ('OK')	image/webp	etag:%221156-6515998d-e21e6f1910010521;;;%22	https://ppc5g.com/images/logistics.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/logistics.webp	(from https://ppc5g.com/index.php)
10:43:23	6306/6306	---M--	200	added ('OK')	image/webp	etag:%2218a2-6515998c-44a62994327893;;;%22	https://ppc5g.com/images/jewellery.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/jewellery.webp	(from https://ppc5g.com/index.php)
10:43:23	5690/5690	---M--	200	added ('OK')	image/webp	etag:%22163a-65159986-19edf827572c4f1f;;;%22	https://ppc5g.com/images/beauty-products.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/beauty-products.webp	(from https://ppc5g.com/index.php)
10:43:24	1518/1518	---M--	200	added ('OK')	image/webp	etag:%225ee-65159990-eb725c39b236e610;;;%22	https://ppc5g.com/images/steel.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/steel.webp	(from https://ppc5g.com/index.php)
10:43:24	2304/2304	---M--	200	added ('OK')	image/webp	etag:%22900-65159987-f38794b55797b0e2;;;%22	https://ppc5g.com/images/cements.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/cements.webp	(from https://ppc5g.com/index.php)
10:43:24	4984/4984	---M--	200	added ('OK')	image/webp	etag:%221378-6515998b-4dbadd781e60c52f;;;%22	https://ppc5g.com/images/hypermarkets.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/hypermarkets.webp	(from https://ppc5g.com/index.php)
10:43:25	2128/2128	---M--	200	added ('OK')	image/webp	etag:%22850-6515998e-7fb35386fc7ec90c;;;%22	https://ppc5g.com/images/packaging.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/packaging.webp	(from https://ppc5g.com/index.php)
10:43:25	4748/4748	---M--	200	added ('OK')	image/webp	etag:%22128c-65159987-16813e6e2848e752;;;%22	https://ppc5g.com/images/chemical-industries.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/chemical-industries.webp	(from https://ppc5g.com/index.php)
10:43:25	6508/6508	---M--	200	added ('OK')	image/webp	etag:%22196c-65159991-b2962bcb49044c55;;;%22	https://ppc5g.com/images/uae.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/uae.webp	(from https://ppc5g.com/index.php)
10:43:26	14720/14720	---M--	200	added ('OK')	image/webp	etag:%223980-65159990-243a7347d4a79431;;;%22	https://ppc5g.com/images/sri-lanka.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/sri-lanka.webp	(from https://ppc5g.com/index.php)
10:43:26	11586/11586	---M--	200	added ('OK')	image/webp	etag:%222d42-65159987-8bdbcd5185028192;;;%22	https://ppc5g.com/images/bhutan.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/bhutan.webp	(from https://ppc5g.com/index.php)
10:43:27	8116/8116	---M--	200	added ('OK')	image/webp	etag:%221fb4-65159990-344fe7cc567a4e61;;;%22	https://ppc5g.com/images/singapore-1.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/singapore-1.webp	(from https://ppc5g.com/index.php)
10:43:27	13016/13016	---M--	200	added ('OK')	image/webp	etag:%2232d8-6515998d-acba47add44ac159;;;%22	https://ppc5g.com/images/malaysia.webp	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/malaysia.webp	(from https://ppc5g.com/index.php)
